id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Region_624	15	0.096869	0.35054	0.598393	474	8	-0.063914	0.1714	0.17098	1.0	90	0	-0.063914
Region_872	9	0.097	0.30789	0.558941	475	6	-0.51023	0.28481	0.28316	1.0	180	0	-0.51023
Region_202	4	0.097487	0.23158	0.485165	476	3	-0.41519	0.52302	0.52216	1.0	352	0	-0.41519
Region_835	3	0.099255	0.22178	0.471207	477	3	-0.44852	0.90075	0.90097	1.0	715	0	-0.44852
Region_54	3	0.099522	0.22213	0.471207	478	3	-0.15814	0.90048	0.90077	1.0	714	0	-0.15814
Region_784	6	0.099705	0.2794	0.537393	479	5	-0.46947	0.97742	0.97733	1.0	853	0	-0.46947
Region_812	3	0.10144	0.22555	0.476332	480	2	-0.86768	0.84434	0.84561	1.0	648	0	-0.86768
Region_702	8	0.10326	0.30736	0.558941	481	6	-0.47874	0.9874	0.98709	1.0	886	0	-0.47874
Region_209	3	0.10517	0.2323	0.485165	482	2	-0.50052	0.61134	0.6116	1.0	414	0	-0.50052
Region_672	6	0.1054	0.2912	0.545248	483	4	-0.39463	0.2327	0.23135	1.0	139	0	-0.39463
Region_338	6	0.10565	0.29168	0.545248	484	4	-0.38701	0.87595	0.87681	1.0	684	0	-0.38701
Region_529	5	0.10847	0.27205	0.530615	485	4	-0.37524	0.33138	0.33345	1.0	211	0	-0.37524
Region_242	3	0.10998	0.24107	0.496868	486	2	-0.79778	0.067202	0.066653	1.0	33	0	-0.79778
Region_629	8	0.11068	0.32305	0.575392	487	5	-0.30825	0.87452	0.87334	1.0	680	0	-0.30825
Region_503	5	0.11098	0.27665	0.537345	488	3	-0.53228	0.79336	0.794	1.0	596	0	-0.53228
Region_420	3	0.11152	0.24411	0.501148	489	2	-0.77506	0.78309	0.78445	1.0	580	0	-0.77506
Region_465	3	0.11157	0.2442	0.501148	490	2	-0.74378	0.13743	0.13796	1.0	70	0	-0.74378
Region_846	2	0.11206	0.18985	0.43819	491	2	-0.42761	0.88794	0.88668	1.0	699	0	-0.42761
Region_411	11	0.11245	0.3609	0.609271	492	8	-0.15395	0.73571	0.7366	1.0	525	0	-0.15395
Region_841	3	0.11267	0.24604	0.502741	493	3	-0.11315	0.88733	0.88834	1.0	698	0	-0.11315
Region_247	2	0.11364	0.19218	0.440806	494	2	-0.60483	0.88636	0.88504	1.0	696	0	-0.60483
Region_210	12	0.11459	0.36699	0.614246	495	6	-0.048295	0.95317	0.95257	1.0	792	0	-0.048295
Region_693	3	0.11673	0.25335	0.511033	496	2	-0.72801	0.72699	0.72838	1.0	514	0	-0.72801
Region_652	12	0.11769	0.37306	0.619314	497	8	-0.35342	0.59629	0.59374	1.0	403	0	-0.35342
Region_333	3	0.11907	0.25736	0.51635	498	2	-0.79929	0.7852	0.78652	1.0	583	0	-0.79929
Region_685	3	0.12038	0.25975	0.519494	499	3	-0.79618	0.87962	0.88077	1.0	691	0	-0.79618
Region_470	14	0.12119	0.39459	0.633488	500	9	-0.25445	0.16069	0.16101	1.0	86	0	-0.25445
Region_308	14	0.12284	0.39776	0.634606	501	9	-0.31761	0.98128	0.98193	1.0	868	0	-0.31761
Region_245	3	0.12344	0.26556	0.525549	502	3	-0.3398	0.87656	0.87766	1.0	686	0	-0.3398
Region_64	9	0.12402	0.35699	0.603934	503	3	0.55879	0.82666	0.82524	1.0	630	0	0.55879
Region_890	3	0.12454	0.26761	0.526295	504	2	-0.66382	0.66025	0.65987	1.0	453	0	-0.66382
Region_701	24	0.12685	0.45725	0.693955	505	13	-0.23859	0.99846	0.99857	1.0	934	0	-0.23859
Region_319	12	0.12872	0.3956	0.633621	506	4	0.28736	0.52941	0.52695	1.0	355	0	0.28736
Region_234	9	0.12948	0.36695	0.614246	507	6	-0.20175	0.92698	0.9255	1.0	752	0	-0.20175
Region_607	5	0.12951	0.3106	0.560632	508	4	-0.55323	0.61285	0.61351	1.0	416	0	-0.55323
Region_791	6	0.13018	0.33112	0.585	509	3	-0.28172	0.27415	0.27347	1.0	173	0	-0.28172
Region_858	8	0.13038	0.36452	0.613382	510	6	-0.36123	0.97275	0.97234	1.0	838	0	-0.36123
Region_491	6	0.13098	0.33259	0.585	511	4	-0.51936	0.94512	0.94553	1.0	778	0	-0.51936
