id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Region_736	9	0.48595	0.66365	1.0	540	2	0.27119	0.0032374	0.0063213	0.546941	7	2	0.27119
Region_108	3	0.48621	0.49148	1.0	541	1	-0.30158	0.13761	0.13815	0.853191	155	0	-0.30158
Region_490	30	0.48771	0.8128	1.0	542	4	-0.08976	0.74124	0.74215	0.978122	707	0	-0.08976
Region_408	3	0.48844	0.49339	1.0	543	1	0.34493	0.40643	0.40533	0.898194	428	0	0.34493
Region_528	4	0.49111	0.52378	1.0	544	1	-0.21428	0.80946	0.80952	0.978122	773	0	-0.21428
Region_870	3	0.49309	0.49698	1.0	545	1	-0.20508	0.24364	0.24283	0.875543	264	0	-0.20508
Region_144	6	0.49811	0.62364	1.0	546	1	0.05139	0.14526	0.14447	0.853191	164	0	0.05139
Region_56	2	0.5011	0.49784	1.0	547	0	-0.082573	0.6211	0.61895	0.953749	615	0	-0.082573
Region_151	3	0.50318	0.50574	1.0	548	1	0.65861	0.18676	0.18677	0.866965	198	0	0.65861
Region_364	42	0.50415	0.85036	1.0	549	9	0.14733	0.39989	0.4131	0.900536	424	1	0.14733
Region_563	12	0.50428	0.71616	1.0	550	2	0.40642	0.10543	0.1095	0.853191	120	1	0.40642
Region_564	47	0.50528	0.86106	1.0	551	11	0.18995	0.90439	0.90407	0.993377	858	0	0.18995
Region_253	6	0.50927	0.62873	1.0	552	1	0.001313	0.77112	0.77109	0.978122	733	0	0.001313
Region_495	15	0.50936	0.75389	1.0	553	3	0.027878	0.94164	0.94161	0.9949	893	0	0.027878
Region_829	9	0.51022	0.67828	1.0	554	2	0.20622	0.057248	0.061337	0.788015	74	1	0.20622
Region_684	2	0.512	0.50904	1.0	555	0	-0.2366	0.84038	0.83879	0.978122	812	0	-0.2366
Region_848	3	0.51488	0.51625	1.0	556	1	0.10689	0.66599	0.66567	0.958564	656	0	0.10689
Region_370	3	0.515	0.51635	1.0	557	1	-0.062266	0.38281	0.38158	0.886925	403	0	-0.062266
Region_795	15	0.5154	0.75865	1.0	558	3	-0.1002	0.92297	0.92287	0.993377	878	0	-0.1002
Region_892	3	0.51754	0.51874	1.0	559	1	0.022582	0.75873	0.75976	0.978122	725	0	0.022582
Region_841	3	0.51801	0.51908	1.0	560	1	-0.17625	0.12639	0.12698	0.853191	140	0	-0.17625
Region_560	7	0.51825	0.65685	1.0	561	2	0.019999	0.72734	0.72675	0.978122	699	0	0.019999
Region_267	9	0.51907	0.68384	1.0	562	2	-0.18208	0.96622	0.96567	0.9949	913	0	-0.18208
Region_877	3	0.52067	0.52148	1.0	563	1	0.030383	0.31262	0.31153	0.875543	333	0	0.030383
Region_413	6	0.52073	0.63356	1.0	564	1	-0.076831	0.57564	0.57582	0.953749	559	0	-0.076831
Region_127	3	0.52501	0.52581	1.0	565	1	0.2707	0.11325	0.11422	0.853191	129	0	0.2707
Region_35	18	0.52543	0.78545	1.0	566	3	0.47341	0.50779	0.50735	0.942794	509	0	0.47341
Region_290	8	0.52618	0.67279	1.0	567	2	0.20932	0.65567	0.65524	0.958295	644	0	0.20932
Region_476	6	0.52667	0.63639	1.0	568	1	0.11693	0.4651	0.46532	0.911599	479	0	0.11693
Region_247	2	0.52963	0.5264	1.0	569	0	-0.13081	0.72758	0.72518	0.978122	700	0	-0.13081
Region_461	18	0.53091	0.78857	1.0	570	4	0.20927	0.47065	0.46976	0.911599	485	0	0.20927
Region_281	9	0.53105	0.69222	1.0	571	1	0.13594	0.53406	0.53256	0.953749	526	0	0.13594
Region_456	3	0.53272	0.53316	1.0	572	1	-0.23967	0.24858	0.24798	0.875543	266	0	-0.23967
Region_775	8	0.53346	0.67869	1.0	573	1	0.41056	0.799	0.7981	0.978122	760	0	0.41056
Region_851	18	0.54133	0.79433	1.0	574	1	0.31246	0.74701	0.74692	0.978122	715	0	0.31246
Region_26	3	0.54453	0.54454	1.0	575	1	-0.22169	0.92234	0.92235	0.993377	876	0	-0.22169
Region_380	3	0.54634	0.54627	1.0	576	1	-0.12501	0.62862	0.62811	0.954556	622	0	-0.12501
Region_770	18	0.54658	0.7974	1.0	577	2	-0.0086691	0.39689	0.39649	0.887485	422	0	-0.0086691
