bin,coeff,pval,fdr,Result,Construct
PHOX2B.04331,0.00643224761614001,0.191040290621557,0.37032187087797586,NoChange,VPR
PHOX2B.04332,0.00764323257498638,0.117811979236619,0.26987251051235417,NoChange,VPR
PHOX2B.04333,0.00337002786173314,0.416590617416679,0.6000038665971168,NoChange,VPR
PHOX2B.04334,0.00102536205619643,0.794856388667046,0.8824525916271002,NoChange,VPR
PHOX2B.04335,-0.00665854355759419,0.102898565309772,0.24759319534896648,NoChange,VPR
PHOX2B.04336,-0.0128834094349305,0.00124540903337012,0.016529341533789866,Depleted,VPR
PHOX2B.04340,-0.00314304560558343,0.557704020024568,0.7216965353920026,NoChange,VPR
PHOX2B.04341,0.00515424570937477,0.344368544649724,0.5329510618714343,NoChange,VPR
PHOX2B.04342,-0.0019655945866715,0.73883389380151,0.848685041056858,NoChange,VPR
PHOX2B.04343,-0.00457644194284388,0.424483308659375,0.6074477469374233,NoChange,VPR
PHOX2B.04344,-0.00659662890312265,0.321451261134775,0.5105061196540212,NoChange,VPR
PHOX2B.04346,0.00470403316507474,0.442915921545039,0.6233013591386896,NoChange,VPR
PHOX2B.04347,9.41247701261555e-5,0.986821422392964,0.9930566040845793,NoChange,VPR
PHOX2B.04348,-0.0135779046024118,0.0218158899535834,0.09225182671600123,NoChange,VPR
PHOX2B.04349,-0.0165465282689485,0.00138867349186519,0.01764524691289264,Depleted,VPR
PHOX2B.04352,-0.0180792463275223,0.00346824434332794,0.03059042729613562,Depleted,VPR
PHOX2B.04353,7.3863903814982e-4,0.822800090560797,0.8998715272453933,NoChange,VPR
PHOX2B.04354,-0.0113628530742151,0.0983714654505418,0.2407531123561262,NoChange,VPR
PHOX2B.04355,-0.018179905029015,0.0123941831264826,0.06571155963975482,NoChange,VPR
PHOX2B.04356,-0.0285806399175418,1.824292273204e-4,0.0053401241541549144,Depleted,VPR
PHOX2B.04357,-0.0251472976128746,2.2270768112003e-4,0.005999092151305344,Depleted,VPR
PHOX2B.04358,-0.0169600697810546,8.2450816106931e-4,0.01303237237954827,Depleted,VPR
PHOX2B.04359,-0.0176008513227295,1.3251108491913e-4,0.00444976480542693,Depleted,VPR
PHOX2B.04360,-0.0192368520533815,6.505880226169e-4,0.011286082471185083,Depleted,VPR
PHOX2B.04361,-0.0208701601046355,3.7135948481634e-4,0.008101424433031669,Depleted,VPR
PHOX2B.04362,-0.0139874991804299,0.00936623496364479,0.055167093598831526,NoChange,VPR
