Gene,pvalue,estimate,fdr,Result,Construct
Region_230,1.0216167040220912e-4,-0.03553567135266974,7.271980318393468e-4,Depleted,VPR
Region_231,0.19968212511421726,-0.005895281737386603,0.2631530087733342,NoChange,VPR
Region_232,0.581870986168497,-0.0036351468262964186,0.6430456864258206,NoChange,VPR
Region_233,1.9824199637312722e-4,-0.013239212869225537,0.0012191208484442653,Depleted,VPR
Region_234,0.03341017094791475,-0.0150478541625046,0.06126327492274835,NoChange,VPR
Region_235,8.647865273314432e-5,0.025953546337599675,6.514953683842588e-4,Enriched,VPR
Region_236,0.07783627522375333,-0.028167262377284213,0.11946348523306115,NoChange,VPR
Region_237,0.3888300329998651,0.009908630737654781,0.4588803522609374,NoChange,VPR
Region_238,0.02728962048315675,0.020107898628100883,0.051936456666892006,NoChange,VPR
Region_239,9.843222167144978e-4,-0.02403165055572994,0.004008231008603181,Depleted,VPR
Region_240,0.6521774074432263,0.002954816511998533,0.7052253305366945,NoChange,VPR
Region_241,0.012502244084030207,-0.025882319478789887,0.028293566819266244,Depleted,VPR
Region_242,0.6486288989559957,-0.006812178934748803,0.7030701734487051,NoChange,VPR
Region_244,0.24750070419614126,-0.009218143645742095,0.3140157855562206,NoChange,VPR
Region_245,0.253511810540782,0.01050123050041775,0.32052402339701663,NoChange,VPR
Region_246,5.449041289503816e-4,0.024966952518326778,0.0025925964872165527,Enriched,VPR
Region_247,0.045744169596332714,-0.015525235487504478,0.07686380913584531,NoChange,VPR
Region_248,0.16284310617885672,0.00923271735006062,0.22304570906922191,NoChange,VPR
Region_249,6.553179158425852e-4,-0.02277063331135313,0.0029473004772223735,Depleted,VPR
Region_250,5.612810685492993e-4,-0.03288957780219823,0.002615454051384364,Depleted,VPR
Region_251,0.4362751993826577,-0.007701903307789532,0.503824694182044,NoChange,VPR
Region_252,0.5283387789700513,0.003942173864290436,0.5940525574489134,NoChange,VPR
Region_253,1.5990191039347683e-4,0.01606626224031957,0.001025186716281582,Enriched,VPR
Region_254,0.004682211356993176,-0.01929424666525308,0.012983800818165126,Depleted,VPR
Region_255,0.018335064694233464,-0.05403328364594384,0.03807095477272954,Depleted,VPR
Region_256,1.2615639235694973e-6,-0.014558647768232444,3.08230753218061e-5,Depleted,VPR
Region_257,0.07780930739793646,0.008522292155483106,0.11946348523306115,NoChange,VPR
Region_258,0.5010574126500267,-0.007308258678675276,0.566903505676626,NoChange,VPR
Region_259,0.0016235323959902222,0.02309750192439453,0.005847303928187892,Enriched,VPR
Region_260,0.0060558093720713265,-0.05265206079899631,0.015708202012972964,Depleted,VPR
Region_262,0.023725114381111963,-0.017168618038121815,0.046423167533604356,Depleted,VPR
Region_263,0.28647961349814793,-0.006090739319819653,0.3528304776598443,NoChange,VPR
Region_264,0.09310813466227885,0.011825046710647824,0.13866516266013193,NoChange,VPR
Region_265,0.200912654772163,-0.006229118898177046,0.26437414834648526,NoChange,VPR
Region_266,0.025783601509421862,-0.020573991077279932,0.04969802934865109,Depleted,VPR
Region_267,0.012583673099021324,-0.026832421695523374,0.028297613138097703,Depleted,VPR
Region_268,0.00405453297019543,0.02506935870893634,0.011785523488928194,Enriched,VPR
Region_270,0.018361655177997874,-0.017906608500380675,0.03807095477272954,Depleted,VPR
Region_271,1.4653659746786452e-4,-0.04996671707656869,9.462077436496395e-4,Depleted,VPR
Region_272,0.006680427916940971,-0.04959640985064811,0.01682202461536111,Depleted,VPR
Region_273,0.062402166151119834,-0.010483686465269254,0.09879432259301635,NoChange,VPR
Region_274,0.0426598161664735,-0.042701141252654194,0.07303877616381069,NoChange,VPR
Region_275,0.1015124351563285,-0.016182032198826052,0.14897279445019637,NoChange,VPR
Region_276,0.004410954683204695,-0.02128414679642673,0.0125000095097713,Depleted,VPR
Region_277,0.009358558267915748,-0.01400071122605942,0.02236437348056162,Depleted,VPR
Region_278,0.7750129166097233,0.0012429136116767546,0.8127745668389673,NoChange,VPR
Region_279,0.13114402273194806,-0.024133203165283282,0.18524093210887665,NoChange,VPR
Region_280,0.004928716967038429,-0.021589649353114963,0.013460906761941812,Depleted,VPR
Region_281,0.04445049714166278,0.012329048172219772,0.07496874891056558,NoChange,VPR
Region_282,0.006269290057509996,-0.014333293464113512,0.01610067673860522,Depleted,VPR
Region_283,1.066721556778543e-4,0.02190616908790332,7.53372099474846e-4,Enriched,VPR
Region_284,0.24766952997962977,-0.007818308825399288,0.3140157855562206,NoChange,VPR
Region_285,0.04280066474235966,-0.009782679313582612,0.07314140061832351,NoChange,VPR
Region_286,8.211915104066056e-4,0.023749035866950916,0.0035016845538092998,Enriched,VPR
Region_287,0.061084625480349604,-0.015131105550781686,0.09721919266590853,NoChange,VPR
Region_288,0.025670601180255995,0.020293140488158716,0.04958594757895603,Enriched,VPR
Region_289,1.1694016578687704e-4,0.024424998293616332,8.008629535707337e-4,Enriched,VPR
Region_290,0.03677628310803421,-0.01352986244004756,0.06583318797953056,NoChange,VPR
Region_291,0.069532363283727,0.01376308691250087,0.10874957856140001,NoChange,VPR
Region_292,1.72037498960602e-5,-0.017683419999919986,2.0736253208051227e-4,Depleted,VPR
Region_294,2.2008416911322404e-7,0.02596712518880685,7.652157264552096e-6,Enriched,VPR
Region_295,0.07044610980416748,-0.013848351204093447,0.10979876424649551,NoChange,VPR
Region_296,0.1611187827068956,0.010215671545366654,0.22101878538244862,NoChange,VPR
