bin,estimate,pval,fdr,speed,Result,Construct
PHOX2B.18987,5.9839006472689e-4,0.902177479504607,0.9674486644429248,stable,NoChange,KRAB
PHOX2B.18988,-0.00110170389882501,0.774791067271312,0.9119478298151884,stable,NoChange,KRAB
PHOX2B.18989,-0.00381916749703498,0.206893636126618,0.5446896494325005,early,NoChange,KRAB
PHOX2B.18990,-0.00111421662997902,0.730781662076155,0.893207260261624,early,NoChange,KRAB
PHOX2B.18991,1.32022394077027e-5,0.997369611738907,0.9989361178390916,early,NoChange,KRAB
PHOX2B.18992,0.00163565217057522,0.723750847576439,0.8898820251467385,stable,NoChange,KRAB
PHOX2B.18993,-0.00310595896356229,0.329176500219312,0.654577165131509,stable,NoChange,KRAB
PHOX2B.18994,-5.6108023289288e-4,0.840704327568865,0.9430547871366454,stable,NoChange,KRAB
PHOX2B.18995,-0.00339700924585042,0.394067859725932,0.7073848022967755,stable,NoChange,KRAB
PHOX2B.18996,-0.00911685717896693,0.12754727559885,0.44604205140936193,early,NoChange,KRAB
PHOX2B.18997,-0.0121543425967126,0.0660782699929943,0.33669314719465077,stable,NoChange,KRAB
PHOX2B.18998,-0.00946584216359142,0.111887286624471,0.4225819825690911,stable,NoChange,KRAB
PHOX2B.18999,-0.00342828528223616,0.512028934689523,0.7809090177392759,stable,NoChange,KRAB
PHOX2B.19000,-0.00253168412313762,0.62108158895064,0.8427571428103532,stable,NoChange,KRAB
PHOX2B.19001,-1.90419856294008e-5,0.996413155101566,0.9986226293158028,stable,NoChange,KRAB
PHOX2B.19002,-0.00135734370175523,0.61321911611694,0.8384321215618992,early,NoChange,KRAB
PHOX2B.19004,0.00272903787156037,0.482380812479247,0.7654639863992837,stable,NoChange,KRAB
PHOX2B.19005,-0.00259020328073942,0.590162163347438,0.8272286937648878,early,NoChange,KRAB
PHOX2B.19006,-0.00113326860277011,0.836073767241731,0.9414979650027304,stable,NoChange,KRAB
PHOX2B.19007,-0.00616371335343373,0.174506583495921,0.5090345790298223,early,NoChange,KRAB
PHOX2B.19008,-0.00332825141229763,0.365056491749752,0.6846931631923515,stable,NoChange,KRAB
PHOX2B.19009,-0.00261044968083925,0.368034470085917,0.686978506892152,early,NoChange,KRAB
PHOX2B.19010,-0.00550075204077721,0.0346251711168471,0.2626871650128294,stable,NoChange,KRAB
PHOX2B.19011,-0.00476749882367504,0.135432777337185,0.45634542321373056,early,NoChange,KRAB
PHOX2B.19012,-0.00662086805447585,0.0337341637977757,0.25961379635680965,early,NoChange,KRAB
PHOX2B.19013,-0.00687229417322349,0.0819344166848938,0.3695351204320496,stable,NoChange,KRAB
PHOX2B.19014,-0.0107485118128388,0.00568379076265879,0.12738649048701817,early,NoChange,KRAB
PHOX2B.19015,-0.0113081804018961,0.00727281477686711,0.14132689674659238,stable,NoChange,KRAB
